period_end,air_temp,dni,ghi
2023-01-01 00:30:00+00:00,10,0,0
2023-01-01 01:00:00+00:00,10,0,0
2023-01-01 01:30:00+00:00,10,0,0
2023-01-01 02:00:00+00:00,10,0,0
2023-01-01 02:30:00+00:00,9,0,0
2023-01-01 03:00:00+00:00,9,0,0
2023-01-01 03:30:00+00:00,9,0,0
2023-01-01 04:00:00+00:00,9,0,0
2023-01-01 04:30:00+00:00,9,0,0
2023-01-01 05:00:00+00:00,9,0,0
2023-01-01 05:30:00+00:00,9,0,0
2023-01-01 06:00:00+00:00,9,0,0
2023-01-01 06:30:00+00:00,8,0,0
2023-01-01 07:00:00+00:00,8,15,6
2023-01-01 07:30:00+00:00,8,189,50
2023-01-01 08:00:00+00:00,9,450,118
2023-01-01 08:30:00+00:00,10,565,185
2023-01-01 09:00:00+00:00,11,646,248
2023-01-01 09:30:00+00:00,12,706,304
2023-01-01 10:00:00+00:00,13,744,348
2023-01-01 10:30:00+00:00,14,766,380
2023-01-01 11:00:00+00:00,14,779,400
2023-01-01 11:30:00+00:00,15,747,400
2023-01-01 12:00:00+00:00,15,774,397
2023-01-01 12:30:00+00:00,15,752,375
2023-01-01 13:00:00+00:00,15,724,341
2023-01-01 13:30:00+00:00,16,687,296
2023-01-01 14:00:00+00:00,16,633,240
2023-01-01 14:30:00+00:00,16,554,177
2023-01-01 15:00:00+00:00,16,216,94
2023-01-01 15:30:00+00:00,15,13,33
2023-01-01 16:00:00+00:00,14,2,3
2023-01-01 16:30:00+00:00,14,0,0
2023-01-01 17:00:00+00:00,14,0,0
2023-01-01 17:30:00+00:00,13,0,0
2023-01-01 18:00:00+00:00,13,0,0
2023-01-01 18:30:00+00:00,13,0,0
2023-01-01 19:00:00+00:00,13,0,0
2023-01-01 19:30:00+00:00,13,0,0
2023-01-01 20:00:00+00:00,13,0,0
2023-01-01 20:30:00+00:00,12,0,0
2023-01-01 21:00:00+00:00,11,0,0
2023-01-01 21:30:00+00:00,11,0,0
2023-01-01 22:00:00+00:00,11,0,0
2023-01-01 22:30:00+00:00,11,0,0
2023-01-01 23:00:00+00:00,10,0,0
2023-01-01 23:30:00+00:00,10,0,0
2023-01-02 00:00:00+00:00,10,0,0
2023-01-02 00:30:00+00:00,10,0,0
2023-01-02 01:00:00+00:00,9,0,0
2023-01-02 01:30:00+00:00,9,0,0
2023-01-02 02:00:00+00:00,9,0,0
2023-01-02 02:30:00+00:00,9,0,0
2023-01-02 03:00:00+00:00,9,0,0
2023-01-02 03:30:00+00:00,9,0,0
2023-01-02 04:00:00+00:00,9,0,0
2023-01-02 04:30:00+00:00,9,0,0
2023-01-02 05:00:00+00:00,9,0,0
2023-01-02 05:30:00+00:00,8,0,0
2023-01-02 06:00:00+00:00,8,0,0
2023-01-02 06:30:00+00:00,8,0,0
2023-01-02 07:00:00+00:00,9,2,4
2023-01-02 07:30:00+00:00,9,0,22
2023-01-02 08:00:00+00:00,9,0,46
2023-01-02 08:30:00+00:00,10,0,72
2023-01-02 09:00:00+00:00,11,0,98
2023-01-02 09:30:00+00:00,12,0,110
2023-01-02 10:00:00+00:00,12,0,100
